上海昌嘉广告策划有限公司	CJ@design-cj.com/
北京省惠科技股份有限公司上海分公司	hkgufen_bj@163.com
佰礼激光科技（上海）有限公司	jgbl@biolitec.com
卓法酒业有限公司	a.ocampo@wine-excellence.com
上海诚用电子有限公司	63611821@qq.com
上海韩申电子有限公司	dg989500@163.com
佰礼激光科技（上海）有限公司	bailijiguang606@163.com
上海达内为赢软件科技有限公司	dingwj@tarena.com.cn
上海德柯信息咨询有限公司	shkede@163.com
北京瑞友科技股份有限公司上海分公司	lvyue@use.com.cn
上海中成软件科技有限公司	51571694@qq.com
上海求远电子有限公司	QY62598879@sina.com
霸王(广州)有限公司	overseas@bawang.com.cn
上海万方数据有限公司	WF33040855@126.com
上海紫亿电子商务有限公司	shziyidianzi@189.com
宜庭家纺有限公司上海分公司	1175638359@qq.com
塞浦路斯派博有限公司上海代表处	53083951@qq.com
斯咨电贸易(上海)有限公司	63917008@qq.com
蛇口南顺面粉有限公司上海分公司	nanshun1998@163.com
重庆天极网络有限公司	chongqingtinaji668@139.com
上海立信长江投资管理有限公司	yun@pcpa.com.cn
上海华东汽车信息技术有限公司	sh.yun@cetcmotor.com/
胜威诺国际货运代理（上海）有限公司	shengwn5308@163.com
上海金点子信息科技有限公司	gold.idea@163.com
上海昂升餐具有限公司	anshengcanju@163.com
上海德士活萍果服装有限公司	deshihuo1963@163.com
北京芭莎科技有限公司上海第一分公司	bashakeji.beijing@163.com
海连（中国）国际货运有限公司	haykun.cn@vooec.com
上海安彤国际货运代理有限公司	shanghai@dynasha.com
上海彬皮信息技术有限公司	beijing@dynasha.com
上海贝泰电子信息技术有限公司	kefu@nutv.net.cn
上海鑫余机电五金有限公司	xinyuwujin7788@qq.com
上海仪科国际贸易有限公司	yikeinternational@163.com
北京博睿共兴商贸有限公司	borui_beijing@163.com
上海合事商务咨询有限公司	heshi_shangwu@163.com
上海太平洋能源中心	taipingyang.sh@139.com
上海章光企业有限公司	5308zhangguang@163.com
上海艾巴桥司国际货物运输代理有限公司	aibaqiaosi668@163.com
韩进复运国际货运（上海）有限公司	hanjin.sh@qq.com
上海立达联合会计师事务所	lidalianhe@lida.com
上海特友建筑装饰工程有限公司	youjianzhuangshi@163.com
上海发斯特营销咨询有限公司	fast001@189.com
上海发斯特广告有限公司	guangao_fast@163.com
杭州天幕影视文化传播有限公司上海金山分公司	tianmu_hz@163.com
